,X,Y,labels,corpus,value
69,-2.374298,0.3788546,-1,corpus/CZERWONEGITARY_BYLAS.wav,0.15
70,-2.3572438,-0.045892805,-1,corpus/CZERWONEGITARY_RYTMZIEMI.wav,0.15
71,0.21752398,1.9078721,16,corpus/daddydewdropjjjhs.wav,0.15
72,-3.1115956,-0.9443284,23,corpus/DALEK1-THEWORLD.wav,0.15
73,-4.1704745,-0.9757992,28,corpus/DANDELIONWINE_HOTDOG.wav,0.15
74,-4.4606156,-1.376618,-1,corpus/DANIELAMOS_HOUNDOPFHEAVEN.wav,0.15
75,-2.298306,-0.37992197,-1,corpus/DAVEGRUSIN_CANDY_ASCENSIONTOVIRGINITY.wav,0.15
76,-1.2278992,0.28618,13,corpus/DAVID BROMBERG.wav,0.15
77,9.423011,-0.5337731,17,corpus/david oliver-what kinda woman.wav,0.15
78,-0.8901327,2.0445297,14,corpus/davidaxelrodbigbplus.wav,0.15
79,-0.66116154,1.8063325,-1,corpus/davidaxelrodtheshadowknowspt2.wav,0.15
80,-2.9891496,-0.16624446,-1,corpus/DAVIDMCALLUM_FINAL.wav,0.15
81,10.74937,-1.4001784,-1,corpus/death wish break.wav,0.15
82,-0.6296343,1.7887475,-1,corpus/DEMISROUSSOS_WHENI'MAKID.wav,0.15
83,-5.037954,-1.3978398,30,corpus/DEODATO_SEPTEMBER 13.wav,0.15
84,8.126334,0.14911057,-1,corpus/detroit emeralds youre getting a little too smart.wav,0.15
85,-5.3012156,-0.57342434,4,corpus/dexterwansel(youcanbe).wav,0.15
86,-0.31060514,0.65939754,2,corpus/don&thegoodtimes money.wav,0.15
87,10.648624,-1.4407716,-1,corpus/donaldbyrd(littlerast).wav,0.15
88,10.291413,-0.8186442,18,corpus/DOTHAT~1.wav,0.15
89,-1.4655629,0.19305395,13,corpus/DRJOHN_ONELATENIGHT.wav,0.15
90,-1.2679733,0.21546283,13,corpus/drums away.wav,0.15
91,10.345232,-1.2480735,-1,corpus/DUKEWILLIAMSANDTHEEXTREMES_CHINESECHICKEN.wav,0.15
92,-3.1198616,1.1820413,-1,corpus/dutchrobinsonallineedisyou.wav,0.15
93,9.932148,-1.0805169,-1,corpus/easy.wav,0.15
94,-5.217259,-0.61420506,4,corpus/eddiehenderson(kumquatkids).wav,0.15
95,-3.5335767,-0.26161852,-1,corpus/EDGARWINTERGROUP_DOLIKEME.wav,0.15
96,6.103879,1.4428746,6,corpus/EDWINSTARRCONTACT.wav,0.15
97,7.6268334,0.42535737,-1,corpus/EDWINSTARRWORKINGSONG.wav,0.15
98,5.8069034,1.2363425,6,corpus/ELEPHANTS MEMORY MONGOOSE.wav,0.15
99,-0.32877025,2.4527962,-1,corpus/elvis presley put your hand in the hand.wav,0.15
100,-4.2329183,-1.2466117,28,corpus/ERICDELANEY_BIGNOISEFROMWINNETKA.wav,0.15
101,-1.4226952,-0.12776154,13,corpus/ETTAJONES_FARETOHEAVEN.wav,0.15
102,-3.6746032,0.55520546,21,corpus/ezbreak1.wav,0.15
103,-1.9208956,0.59064585,-1,corpus/FANCY_FEELGOOD.wav,0.15
104,9.902873,-0.5366406,18,corpus/fannyhillaintthatpeculiar.wav,0.15
105,5.781432,2.1134076,6,corpus/fat larrys band down on the avenue.wav,0.15
106,8.937138,0.052473575,20,corpus/FATBACK_GETOUTONTHEDANCEFLOOR.wav,0.15
107,6.9829783,1.5357013,-1,corpus/FATBACKCONCRETEJUNGLE.wav,0.15
108,10.014612,-0.60495514,18,corpus/FATBACKGETOUTONTHEDANCEFLOOR.wav,0.15
109,5.8544126,1.8474147,6,corpus/FATBACKMONEY.wav,0.15
110,10.98776,-2.338585,0,corpus/fausto papetti love theme.wav,0.15
111,8.386518,-0.33760542,7,corpus/FINNEGAN&WOOD_DONTCRYNOMORE(2).wav,0.15
112,-1.2959279,2.1923835,14,corpus/FLAVOR_GOTTODO.wav,0.15
113,-1.9485996,-1.1983858,23,corpus/FLIGHT_THERUMBLE.wav,0.15
114,-3.8109684,0.38309667,21,corpus/FRANKCAINPEOPLE.wav,0.15
115,-3.3347173,0.39839995,-1,corpus/free-mrbig live.wav,0.15
116,7.761416,0.9421841,9,corpus/funk inc kool is back.wav,0.15
117,-0.25345105,2.4113264,27,corpus/funkadelic youll like it too.wav,0.15
118,10.312542,-0.6690289,18,corpus/funky constellation street talk (2).wav,0.15
119,5.883897,1.394838,6,corpus/GALTMACDERMOT_PERFUMEBOTTLES.wav,0.15
120,-3.7133026,0.22138183,21,corpus/GARYBURTON_LEROYTHEMAGICIAN.wav,0.15
121,-4.8696837,-0.5410737,4,corpus/GERSHONKINGSLEY_HEYHEY(PANNEDDUP).wav,0.15
122,-4.167295,-0.79511994,28,corpus/GIANT_QUEENOFDOWNS.wav,0.15
123,7.7072787,1.3037579,8,corpus/gladys knight who is she.wav,0.15
124,8.484804,1.0875796,10,corpus/GODFREYDANIEL_DANCETOTHEMUSIC.wav,0.15
125,11.285385,-2.3064742,0,corpus/GOLDIEZELKOWITZ_GETITBACK.wav,0.15
126,-0.09228283,0.3965728,2,corpus/GRACEJONESNIPPLETOTHEBOTTLE.wav,0.15
127,11.477325,-2.3479712,0,corpus/greatfuldead-alligator1.wav,0.15
128,-3.979653,0.2517458,21,corpus/grin_ihadtoomuch.wav,0.15
129,0.5866215,2.5146244,26,corpus/GWENMCRAE_FUNKYSENSATION.wav,0.15
130,-1.01867,1.2173388,15,corpus/HAMILTONAFFAIR_HOWCANIMAKEAGETAWAY.wav,0.15
131,0.3741544,0.5752347,2,corpus/HAMMERSMITHISOUTOST_SNAKEDANCE.wav,0.15
132,-2.6709492,-0.2835023,-1,corpus/happy_days_si.wav,0.15
133,0.6082268,2.493096,26,corpus/harlem underground band aint no sunshine.wav,0.15
134,12.0355,-2.7261362,1,corpus/harry chapin(little girls).wav,0.15
135,-0.13675018,0.3942231,2,corpus/headwest-attention(fix).wav,0.15
136,-3.7936444,0.36009574,21,corpus/HEATHENGIRLS_THREEYEARSTOOLATE.wav,0.15
137,-0.92597646,1.4044377,15,corpus/HONEYCONE_ONEMONKEYDONTSTOPNOSHOWPTII(DIRTY).wav,0.15
138,-2.1778948,2.8794813,11,corpus/HORACEEARNOLD_TALESOFTHEEXONERATEDFLEA.wav,0.15
139,-2.2487957,2.7820175,11,corpus/hotbutter(getready).wav,0.15
140,7.6540213,0.38618565,-1,corpus/Hunk-o- Funk - Brother Jack McDuff.wav,0.15
141,0.18423572,1.5089393,16,corpus/i gres restless.wav,0.15
142,-2.4617379,2.060346,12,corpus/IAN HUNTER.wav,0.15
143,6.7208624,0.93195516,5,corpus/Impeach The President - The Honeydrippers.wav,0.15
144,-1.3737279,0.58066124,-1,corpus/IMPRESSIONSMAKEARESOULTION3THEHARDWAYOST.wav,0.15
145,-3.465462,0.17005853,-1,corpus/INCREDIBLESTRINGBAND_EXPLORER.wav,0.15
146,-1.232167,2.136117,14,corpus/iron butterfly goomlw.wav,0.15
147,5.8498697,1.144028,6,corpus/isaac hayes break through.wav,0.15
148,-1.320332,0.9510431,-1,corpus/ISAACHAYESSHAFTII.wav,0.15
149,10.298883,-1.1348407,18,corpus/j.b's latin-spittin'image.wav,0.15
150,-4.101882,-0.93126637,28,corpus/jackie jackson is it him or me.wav,0.15
151,8.631139,1.1358252,10,corpus/JACQUESHIGELIN_OESOPHAGEBOOGIECARDIACBLUES.wav,0.15
152,5.894026,1.7751071,6,corpus/JAMES BROWN COLD SWEAT.wav,0.15
153,8.545917,-0.022354044,-1,corpus/james brown funky president.wav,0.15
154,5.5452695,2.0294394,6,corpus/JAMES BROWN-Tighten Up Live.wav,0.15
155,9.234963,-0.20910634,-1,corpus/jamesbrown_funkydrummer(45).wav,0.15
156,-3.7777307,-0.99442834,28,corpus/jamesgangasshtonpark.wav,0.15
157,5.9325743,1.0713773,6,corpus/JANISJOPLIN_ASGOODASYOUVEBEENTOTHISWORLD.wav,0.15
158,9.368712,-0.33681202,17,corpus/JAZZCLASS.wav,0.15
159,-0.18262792,0.47618204,2,corpus/JDANDTHEEVILSDYNAMITEBAND_EVERGLADESPT1.wav,0.15
160,7.603973,1.0498977,9,corpus/jefferson starship rock music.wav,0.15
161,6.679243,1.0125735,5,corpus/JERRYBUTLER_CHALKITUP.wav,0.15
162,-3.8120103,-0.97740203,28,corpus/JIMIHENDRIX_SOMETHINGYOUGOT.wav,0.15
163,-1.0445491,1.4685485,15,corpus/JIMMYSMITH_IMGONNALOVEYOUJUSTALITTLEMOREBABY.wav,0.15
164,-4.9115353,-1.5919117,29,corpus/JIMMYSMITH_NUMBERONE.wav,0.15
